游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,二台【格局】最强排位上分机器,斗鱼CF之星冠军主播,104,鲜肉赵山河,https://www.douyu.com//435504
穿越火线,预告丨26日19点白鲨 vs WE,斗鱼穿越火线官方赛事,83.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,拼团?荣耀世冠/龙儿,CF第一噗通话,60,小脑妹,https://www.douyu.com//5621575
穿越火线,肖晨：暴虐小僵尸,肖晨杯生化赛事创始人,54.7,肖晨吖,https://www.douyu.com//3357246
穿越火线,全区排位?荣耀世冠?龙儿小淘气,双马尾COP女神,52.3,橙子大小姐,https://www.douyu.com//5727882
穿越火线,嘿嘿，我是小文呀！,CF残局收割机,41.1,白鲨暖文,https://www.douyu.com//6724991
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,斗鱼CF赛事解说,33.2,老V丶,https://www.douyu.com//600594
穿越火线,硬仔嗨起 6烈6盘突突起来！,生化逃生大师,32.7,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,拼团/荣耀世冠/龙儿小淘气,火线AK速射王,30.1,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,小哲：直播直播！,无,27.4,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,珍惜眼下~47895,CFPL官方解说,27.1,白鲨加菲,https://www.douyu.com//47895
穿越火线,上分?双排?祝你朝朝暮暮有人疼,CF声优女突破手,25.5,蜜蜜姐i,https://www.douyu.com//631275
穿越火线,送全部活动，秒上号,无,25.5,猛叔是个大帅BBBBBBBB,https://www.douyu.com//148278
穿越火线,直播~生化搞起·~,穿越火线生化之王,22.2,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,全区排位/秒上号/学技术看凄凉,排位教学第一人,9.7,情久凄凉Cool,https://www.douyu.com//13228
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,5.1,情久霸天丶,https://www.douyu.com//8885916
穿越火线,极速上分，猛猛上，,爆破意识突破手,20.7,214514加藤鹰,https://www.douyu.com//214514
穿越火线,一起看CFPLS20啦~~~,CFPL-S6冠军，WCA世界冠军,17.1,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,16.8,游戏坑姐,https://www.douyu.com//10506452
穿越火线,白鲨名片喷涂+小红帽+胡萝卜+粉烟,湖北百城联赛3届省冠金枪王,15.4,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,音效卡/光耀/荣耀之巅,CF排位女战神,14.6,情久月姐姐,https://www.douyu.com//897371
穿越火线,渣渣枫：斗鱼最强女鬼救世主,CF追击模式大神,14.3,渣渣枫007,https://www.douyu.com//3859824
穿越火线,苗族妹妹的排位之路/荣耀之巅,苗族普通话推广员,12.9,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,排位/首胜/吃分分,全球限量版COP女神,12.3,CF缪斯冷小姐,https://www.douyu.com//10096393
穿越火线,新来的妞?你仍是四月人间,CF单口女相声,12,迷大宝,https://www.douyu.com//1363990
穿越火线,【重播】CFEL  S1,无,11.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,全区无号，来个号吧秒上，荣耀/荣耀之巅,无,11,顾誠吖,https://www.douyu.com//6995382
穿越火线,举目见日，不见长安,CF上分女武神,10.8,李莹吖y,https://www.douyu.com//8727515
穿越火线,晚上带水友娱乐 啥都玩！,无,10.7,可恶丶迷失称神,https://www.douyu.com//9960625
穿越火线,排位女土匪，第一女QBZ.全区秒,无,9.6,情久优柔,https://www.douyu.com//8495302
穿越火线,秒上号不排队/学技术看简单~,浙江省2018TGA春季赛金枪王,9.6,白鲨简单,https://www.douyu.com//8697971
穿越火线,全区排位?首胜?栽楞小QBZ在线上分?,无,9.6,小酥汐i,https://www.douyu.com//10069329
穿越火线,全区帮打排位/秒上/保榜,2021福建省秋季百城联赛冠军,9.4,赛航XXL,https://www.douyu.com//6704179
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,9.2,汉宫九阳,https://www.douyu.com//5421896
穿越火线,无号，帮打排位/荣耀/之巅/之王,无,8.7,CFiyz,https://www.douyu.com//5461764
穿越火线,多闻草木少识人 长守自在清净心,穿越火线G.R女团成员,8.6,情久美素,https://www.douyu.com//5286883
穿越火线,恭喜柒柒首枚紫牌冠名?,CF金牌M4,8.6,小福歆,https://www.douyu.com//9246009
穿越火线,开钻粉，上荣耀之巅,CF狙击女战神,8.5,情久神奇大微微,https://www.douyu.com//554
穿越火线,老阿姨v小姐姐,无,7.4,cf慧慧,https://www.douyu.com//7435496
