游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,预告丨26日19点白鲨 vs WE,斗鱼穿越火线官方赛事,83.5,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,拼团?荣耀世冠/龙儿,CF第一噗通话,59.6,小脑妹,https://www.douyu.com//5621575
穿越火线,嘿嘿，我是小文呀！,CF残局收割机,36.2,白鲨暖文,https://www.douyu.com//6724991
穿越火线,硬仔嗨起 6烈6盘突突起来！,生化逃生大师,32.8,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,斗鱼CF赛事解说,29.9,老V丶,https://www.douyu.com//600594
穿越火线,全区排位?荣耀世冠?龙儿小淘气,双马尾COP女神,28.7,橙子大小姐,https://www.douyu.com//5727882
穿越火线,小哲：直播直播！,无,27.3,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,拼团/荣耀世冠/龙儿小淘气,火线AK速射王,27.1,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,秒上号不排队/学技术看简单~,浙江省2018TGA春季赛金枪王,9.6,白鲨简单,https://www.douyu.com//8697971
穿越火线,肖晨：暴虐小僵尸,肖晨杯生化赛事创始人,26.7,肖晨吖,https://www.douyu.com//3357246
穿越火线,~生化搞起·~,穿越火线生化之王,22.2,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,白鲨名片喷涂+小红帽+胡萝卜+粉烟,湖北百城联赛3届省冠金枪王,15.4,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,音效卡/光耀/荣耀之巅,CF排位女战神,14.6,情久月姐姐,https://www.douyu.com//897371
穿越火线,渣渣枫：斗鱼最强女鬼救世主,CF追击模式大神,14.2,渣渣枫007,https://www.douyu.com//3859824
穿越火线,【重播】CFEL  S1,无,11.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,举目见日，不见长安,CF上分女武神,10.8,李莹吖y,https://www.douyu.com//8727515
穿越火线,全区排位/首胜/段位/豆豆秒上,CF排位破点小能手,10.3,情久小西妹,https://www.douyu.com//8489449
穿越火线,适应下新耳机~~,CF全能钢枪王,70.4,白鲨石头丶,https://www.douyu.com//717
穿越火线,排位女土匪，第一女QBZ.全区秒,无,9.6,情久优柔,https://www.douyu.com//8495302
穿越火线,天晴了雨停了我又行了,无,9.4,情久暖迷,https://www.douyu.com//8260751
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,9.2,汉宫九阳,https://www.douyu.com//5421896
穿越火线,恭喜柒柒首枚紫牌冠名?,CF金牌M4,8.7,小福歆,https://www.douyu.com//9246009
穿越火线,皮皮拉:上分我是专业的！,生化全能王,7.7,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,老阿姨v小姐姐,无,7.5,cf慧慧,https://www.douyu.com//7435496
穿越火线,最强AWM234杀13年狙神120万杀敌,无,6.7,湖南个竞狙神宝锅,https://www.douyu.com//5753791
穿越火线,专业冲分！素质主播！,CF官方视频作者,6.6,情久秋宇,https://www.douyu.com//8542577
穿越火线,苗族妹妹的排位之路/荣耀之巅,苗族普通话推广员,6,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,排位/卡牌/小时/秒上号,排位女司机,6,情久晴崽,https://www.douyu.com//1339667
穿越火线,这几天是录播 出门办事 记得荧光棒续牌子,CF第一讲师,5.6,摇热k,https://www.douyu.com//5431561
穿越火线,AG世冠/雷神虎将/王者凌霄/, TGA选手国服知名98K ,5.4,太原庞臭臭,https://www.douyu.com//580883
穿越火线,没号 飞机荣耀之巅,无,5.4,CF石山,https://www.douyu.com//7610330
穿越火线,枪王/荣耀/之巅/秒上,CF意识流枪王,5.2,大个儿Li,https://www.douyu.com//2478544
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,5.1,情久霸天丶,https://www.douyu.com//8885916
穿越火线,全能型天才 10150227,无,5,E十丶小师弟,https://www.douyu.com//10150227
穿越火线,我只管努力，其他交给天意?,无,4.7,小酥汐i,https://www.douyu.com//10069329
穿越火线,可能岸上的人更爱海海上的人更向往港湾,穿越火线G.R女团成员,4.3,情久美素,https://www.douyu.com//5286883
穿越火线,眼睛不适休息几天，复播待通知,新疆高延迟枪王之王,4.3,白鲨小画家,https://www.douyu.com//1731884
穿越火线,想遇到那个彩虹般的人,无,4.1,SK丶方紫菲,https://www.douyu.com//9373034
穿越火线,帮打全区排位/上分/上豆/小时/荣耀之巅,声优AK小公主,4.1,你的迷人9,https://www.douyu.com//6160997
穿越火线,轮播~明天见,无,4,cf杀三里,https://www.douyu.com//10415441
穿越火线,中指又被螺丝刀扎个坑，我服了,TGA认证美女主播，CFDL解说,3.8,Baby擎1004,https://www.douyu.com//6043590
穿越火线,【绿芜】继续修仙…,无,3.4,绿芜法力无边,https://www.douyu.com//418804
穿越火线,帮打排位来个号秒上～,无,3.1,轩轩yyds,https://www.douyu.com//10049980
