游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,CFPLS20，新阵容，新面貌，加油！,无,291,白鲨AyoM,https://www.douyu.com//728
穿越火线,【直播】CFPL EDG 0:0 Q9,无,265.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,小年解说，看比赛啦～,无,149.2,汉宫年鹏Enpi,https://www.douyu.com//92224
穿越火线,适应下新耳机~~,无,146.3,白鲨石头丶,https://www.douyu.com//717
穿越火线,【超欧】送礼物可以拿斗鱼皮肤/背包,无,102.5,橙子大小姐,https://www.douyu.com//5727882
穿越火线,最欧 送礼拿斗鱼皮肤苹果,无,81.6,小脑妹,https://www.douyu.com//5621575
穿越火线,别打我~我是主播~,无,13.2,丢宝宝吖,https://www.douyu.com//2019797
穿越火线,开钻粉办卡拿斗鱼全套皮肤苹果,肖晨杯生化赛事创始人,73.8,肖晨吖,https://www.douyu.com//3357246
穿越火线,吃土的第三天.,CFS世界总决赛三冠王,60.6,白鲨常旭DBQ,https://www.douyu.com//9442053
穿越火线,开钻粉拿斗鱼皮肤上荣耀之巅送鼠标垫~,无,55,白鲨暖文,https://www.douyu.com//6724991
穿越火线,今天希望有你的陪伴,下饭一姐在线喂饭,13.8,大嗓门的懵兜儿,https://www.douyu.com//2057282
穿越火线,斗鱼全皮肤点进来,无,46,情久月姐姐,https://www.douyu.com//897371
穿越火线,【传情二台】小试一下,无,35.6,传情小小,https://www.douyu.com//10717
穿越火线,一起看CFPLS20啦~~~,无,34.8,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,荣耀世冠-龙儿 粉烟 召集币 6盘6列,无,34.5,老V丶,https://www.douyu.com//600594
穿越火线,硬仔嗨起 6烈6盘突突起来！,无,34,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,川：双开？输一把发红包,无,31.6,你好我是夏洛克,https://www.douyu.com//122943
穿越火线,百城AK周省冠礼包,无,30.7,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,30.2,渣渣枫007,https://www.douyu.com//3859824
穿越火线,慢热女孩小筱雪??,无,29.8,小筱雪y,https://www.douyu.com//8861097
