游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,CFPLS20，新阵容，新面貌，加油！,无,277.3,白鲨AyoM,https://www.douyu.com//728
穿越火线,送礼物可开斗鱼皮肤?,无,81.4,小脑妹,https://www.douyu.com//5621575
穿越火线,适应下新耳机~~,无,143.1,白鲨石头丶,https://www.douyu.com//717
穿越火线,【超欧】送礼物可以拿斗鱼皮肤/背包,无,98.1,橙子大小姐,https://www.douyu.com//5727882
穿越火线,肖晨：暴虐小僵尸,肖晨杯生化赛事创始人,80.5,肖晨吖,https://www.douyu.com//3357246
穿越火线,送礼钻粉拿斗鱼皮肤~~,无,51.9,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,开钻粉拿斗鱼皮肤上荣耀之巅送鼠标垫~,无,55.4,白鲨暖文,https://www.douyu.com//6724991
穿越火线,一起看CFPLS20啦~~~,无,34.8,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,无,33.3,老V丶,https://www.douyu.com//600594
穿越火线,硬仔嗨起 6烈6盘突突起来！,无,32.6,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,28.8,渣渣枫007,https://www.douyu.com//3859824
穿越火线,我和我的怨种队友............,爆破残局收割王,10.2,小江江超哇塞,https://www.douyu.com//8824929
穿越火线,小哲：直播直播！,无,27.4,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,拼团/荣耀世冠/龙儿小淘气,无,26.8,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,斗鱼全皮肤点进来,无,46.1,情久月姐姐,https://www.douyu.com//897371
穿越火线,排位/卡牌/小时/秒上号,排位女司机,6,情久晴崽,https://www.douyu.com//1339667
穿越火线,珍惜眼下~47895,无,25.3,白鲨加菲,https://www.douyu.com//47895
穿越火线,上分?双排?祝你朝朝暮暮有人疼,CF声优女突破手,21.1,蜜蜜姐i,https://www.douyu.com//631275
穿越火线,天天事比较多今天又没收拾,无,20.9,大娇娇Claire,https://www.douyu.com//10302
穿越火线,你刷礼物的样子真帅！！！,无,20.1,KZ丶折耳猫,https://www.douyu.com//8833574
穿越火线,老公你的QBZ跟M4真猛QAQ,无,16.9,失心酷,https://www.douyu.com//62272
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,16.6,游戏坑姐,https://www.douyu.com//10506452
