游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,一起观看CFPLS20夏赛季咯！,无,141.4,白鲨石头丶,https://www.douyu.com//717
穿越火线,最欧 送礼拿斗鱼皮肤苹果,无,107.8,小脑妹,https://www.douyu.com//5621575
穿越火线,【重播】CFEL  S1,无,101.9,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,【超欧】送礼物可以拿斗鱼皮肤/苹果,无,85.2,橙子大小姐,https://www.douyu.com//5727882
穿越火线,【传情小小】昨晚你们挺会啊？？？,无,42.8,传情小小,https://www.douyu.com//10717
穿越火线,【预告】27日19点 KZ vs ES,无,83.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,送礼拿斗鱼皮肤苹果白鲨鼠标垫,无,64.3,白鲨暖文,https://www.douyu.com//6724991
穿越火线,开钻粉办卡拿斗鱼全套皮肤苹果,肖晨杯生化赛事创始人,72.4,肖晨吖,https://www.douyu.com//3357246
穿越火线,一起看CFPLS20啦~~~,无,34.9,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,荣耀世冠-龙儿 粉烟 召集币 6盘6列,无,34.3,老V丶,https://www.douyu.com//600594
穿越火线,我和我的怨种队友............,爆破残局收割王,10.1,小江江超哇塞,https://www.douyu.com//8824929
穿越火线,硬仔嗨起 6烈6盘突突起来！,无,33,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,苗族妹妹的排位之路/荣耀之巅,无,28.9,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,斗鱼全皮肤点进来,无,46.6,情久月姐姐,https://www.douyu.com//897371
穿越火线,排位/卡牌/小时/秒上号,排位女司机,12.3,情久晴崽,https://www.douyu.com//1339667
穿越火线,拼团/荣耀世冠/龙儿小淘气,无,25.7,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,小哲：30人乱斗生化！,无,25.6,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,今晚解说CFPL~47895,无,25.4,白鲨加菲,https://www.douyu.com//47895
穿越火线,皮皮拉:上分我是专业的！,无,19.3,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,你刷礼物的样子真帅！！！,无,19.1,KZ丶折耳猫,https://www.douyu.com//8833574
穿越火线,练枪 比赛 加油!,CFPL S18冠军,16.1,LGD小柒柒,https://www.douyu.com//7853081
穿越火线,开摄像头啦~,CF瞬狙女王  ,16,小柴柴o,https://www.douyu.com//9604271
穿越火线,排位/首胜/吃分分,全球限量版COP女神,14.8,CF缪斯冷小姐,https://www.douyu.com//10096393
穿越火线,打排位秒上号0.0,CF枪王之王TOP前100追击手,14.7,只会突飞猛进,https://www.douyu.com//9973533
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,14.4,渣渣枫007,https://www.douyu.com//3859824
穿越火线,百城AK周省冠礼包,无,14.3,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,清晨：神都不良探,无,13.6,Cz丶清晨,https://www.douyu.com//5319170
穿越火线,跳跳乐天花板来啦~,无,13.4,白鲨小胖丶,https://www.douyu.com//10523608
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,12.8,游戏坑姐,https://www.douyu.com//10506452
穿越火线,举目见日，不见长安,CF上分女武神,12.5,李莹吖y,https://www.douyu.com//8727515
穿越火线,全区无号，来个号吧秒上，荣耀/荣耀之巅,无,11.8,顾誠吖,https://www.douyu.com//6995382
穿越火线,秒上号不排队/学技术看简单~,无,10.4,白鲨简单,https://www.douyu.com//8697971
穿越火线,全区排位?首胜?栽楞小QBZ在线上分?,无,9.8,小酥汐i,https://www.douyu.com//10069329
穿越火线,首胜??排位??帮打??突破手??,无,9.5,主播雨兮吖,https://www.douyu.com//10412361
穿越火线,努力上班第34天,国服前三女突破,9.4,叶萍小仙女,https://www.douyu.com//2263
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,9.1,汉宫九阳,https://www.douyu.com//5421896
穿越火线,多闻草木少识人 长守自在清净心,无,8.8,情久美素,https://www.douyu.com//5286883
穿越火线,帮打排位/秒上号/卡房管带飞,斗神杯CF邀请赛冠军,8.7,情久若黎,https://www.douyu.com//7393236
穿越火线,无号，帮打排位/荣耀/之巅/之王,无,8.7,CFiyz,https://www.douyu.com//5461764
穿越火线,粉丝牌/关注=排位,新疆高延迟枪王之王,8.6,白鲨小画家,https://www.douyu.com//1731884
穿越火线,开钻粉，上荣耀之巅,无,8.6,情久神奇大微微,https://www.douyu.com//554
穿越火线,恭喜柒柒首枚紫牌冠名?,CF金牌M4,8.2,小福歆,https://www.douyu.com//9246009
穿越火线,北部枪王之王/全区排位,无,8.1,cf杀三里,https://www.douyu.com//10415441
穿越火线,排位上车一起玩呀,无,8,小小苏芽,https://www.douyu.com//10726574
穿越火线,全区排位/效率上分/秒上,无,7.9,AN94冷羽,https://www.douyu.com//7431545
穿越火线,中指又被螺丝刀扎个坑，我服了,无,7.8,Baby擎1004,https://www.douyu.com//6043590
穿越火线,老阿姨v小姐姐,无,7.6,cf慧慧,https://www.douyu.com//7435496
穿越火线,办卡打号秒上号 稳稳上分 来个北部上车,无,7.4,温柔李安乐,https://www.douyu.com//2145285
穿越火线,秒上号/排位/首胜/等个好大哥,无,7.2,哆咪超爱玩i,https://www.douyu.com//10158028
穿越火线,玩的菜，不值得爱??,无,7,络枳,https://www.douyu.com//10484285
穿越火线,NAME?,荒岛最浪女汉子肉肉,6.9,CFM肉肉,https://www.douyu.com//6185020
穿越火线,最强AWM234杀13年狙神120万杀敌,无,6.7,湖南个竞狙神宝锅,https://www.douyu.com//5753791
穿越火线,让过去过去 让开始开始。,CFPL S18冠军,6.6,LGDmeye,https://www.douyu.com//7846387
穿越火线,东南西北部，新疆姐姐一起玩,无,6.5,榮寳憨憨虎,https://www.douyu.com//7886397
穿越火线,没号 飞机荣耀之巅,无,5.4,CF石山,https://www.douyu.com//7610330
穿越火线,这几天是录播 出门办事 记得荧光棒续牌子,无,5.1,摇热k,https://www.douyu.com//5431561
穿越火线,你是喜欢橙汁？西瓜汁？还是我这个小崽汁,无,5,羊小蛮,https://www.douyu.com//9624974
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,5,情久霸天丶,https://www.douyu.com//8885916
穿越火线,全能型天才 10150227,无,5,E十丶小师弟,https://www.douyu.com//10150227
穿越火线,【幻逸】免费首胜 秒上号猛上分,无,4.6,幻逸超神了,https://www.douyu.com//4880556
穿越火线,海盗船开船了~,庆余年优秀主播,4.5,拥有晴天,https://www.douyu.com//5282998
穿越火线,想遇到那个彩虹般的人,无,4.3,SK丶方紫菲,https://www.douyu.com//9373034
穿越火线,库库林·白夜,无,4.3,山花爛漫时,https://www.douyu.com//5083807
穿越火线,上赛季北部前二十，定级/上分/一起玩速来,无,4.2,情久梵梵,https://www.douyu.com//9025276
穿越火线,帮打全区排位/上分/上豆/小时/荣耀之巅,无,4.2,你的迷人9,https://www.douyu.com//6160997
穿越火线,不努力怎会进步,无,3.7,CF王小北,https://www.douyu.com//10797685
穿越火线,27号休息不直播么么哒,无,3.4,绿芜法力无边,https://www.douyu.com//418804
穿越火线,帮打排位来个号秒上～,无,3.1,轩轩yyds,https://www.douyu.com//10049980
穿越火线,重生之我在网上当公主,无,3,可妮,https://www.douyu.com//5922391
穿越火线,·-·我有一头小毛驴~~,无,2.9,萌a萌,https://www.douyu.com//8002300
穿越火线,C··F··/挑战系列/来十年解忧,无,2.8,汉宫甄无敌,https://www.douyu.com//7878350
穿越火线,无录像/替打/排位  枪法地下室,无,2.8,暴躁狸,https://www.douyu.com//4163711
穿越火线,我单身我快乐,无,2.6,米子衿,https://www.douyu.com//10251217
穿越火线,荣耀世冠 终身会员 挑战武器 6烈6盘龙,无,2.5,汉宫暖阳,https://www.douyu.com//6394653
穿越火线,帮打排位/不排队/秒上号,无,2.5,Kz秒狙,https://www.douyu.com//9184632
穿越火线,老年刀战及幽灵玩家！刀排可找我！,无,2.4,帝都幽冥鬼戕,https://www.douyu.com//2237590
穿越火线,挑战专家/荣耀世冠/无尽箱/,无,2.3,老简一,https://www.douyu.com//6861192
穿越火线,免费上号，冲！,无,2.3,顾北仑丶,https://www.douyu.com//7227105
穿越火线,520.我还是比较喜欢521,无,1.9,KZ小熊,https://www.douyu.com//8704088
穿越火线,办卡全区秒上号/排位,无,1.7,宇神xian,https://www.douyu.com//8460136
穿越火线,【张公子】一诚能抵万恶,无,1.6,人间清醒张公子,https://www.douyu.com//1276747
穿越火线,幻神M200/幻神宠儿/迷迭香,无,1.4,骚涵cf活动达人,https://www.douyu.com//9775733
穿越火线,暴躁追击，全程小道,无,1.4,张子安i,https://www.douyu.com//3224286
穿越火线,南部战区刀战刀锋寨张丰翼,无,1.4,澄海3C缘丶横扫,https://www.douyu.com//2204354
穿越火线,呐邱：全网高效率上分/荣耀/之巅/,无,1.3,白日梦想家呐邱,https://www.douyu.com//1319636
