游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,【超欧】送礼物可以拿斗鱼皮肤/背包,无,85,橙子大小姐,https://www.douyu.com//5727882
穿越火线,【预告】27日19点 KZ vs ES,无,83.5,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,最欧 送礼拿斗鱼皮肤苹果,无,73,小脑妹,https://www.douyu.com//5621575
穿越火线,送礼拿斗鱼皮肤苹果白鲨鼠标垫,无,54.4,白鲨暖文,https://www.douyu.com//6724991
穿越火线,送礼钻粉拿斗鱼皮肤~~,无,53.8,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,开钻粉办卡拿斗鱼全套皮肤苹果,肖晨杯生化赛事创始人,35.8,肖晨吖,https://www.douyu.com//3357246
穿越火线,荣耀世冠-龙儿 粉烟 召集币 6盘6列,无,34.6,老V丶,https://www.douyu.com//600594
穿越火线,秒上号不排队/学技术看简单~,无,20.9,白鲨简单,https://www.douyu.com//8697971
穿越火线,硬仔嗨起 6烈6盘突突起来！,无,33.1,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,【重播】CFEL  S1,无,31.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,拼团/荣耀世冠/龙儿小淘气,无,29.2,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,慢热女孩小筱雪??,无,27.2,小筱雪y,https://www.douyu.com//8861097
穿越火线,小哲：30人乱斗生化！,无,25.7,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,致郁系声音。,无,20.9,文二阿,https://www.douyu.com//10264369
穿越火线,排位/首胜/吃分分,全球限量版COP女神,17.6,CF缪斯冷小姐,https://www.douyu.com//10096393
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,14.3,渣渣枫007,https://www.douyu.com//3859824
穿越火线,一起观看CFPLS20夏赛季咯！,无,70.1,白鲨石头丶,https://www.douyu.com//717
穿越火线,百城AK周省冠礼包,无,14.2,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,卡牌荣耀之巅滴滴,无,12.4,小优优mm,https://www.douyu.com//5131791
穿越火线,排位女土匪，第一女QBZ.全区秒,无,11.2,情久优柔,https://www.douyu.com//8495302
穿越火线,苗族妹妹的排位之路/荣耀之巅,无,10.1,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,皮皮拉:上分我是专业的！,无,9.6,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,恭喜柒柒首枚紫牌冠名?,CF金牌M4,8.4,小福歆,https://www.douyu.com//9246009
穿越火线,今晚通宵/高质量/效率上分/素质主播,无,6.9,白鲨欧豪,https://www.douyu.com//10403762
穿越火线,最强AWM234杀13年狙神120万杀敌,无,6.7,湖南个竞狙神宝锅,https://www.douyu.com//5753791
穿越火线,专业冲分！素质主播！,无,6.6,情久秋宇,https://www.douyu.com//8542577
穿越火线,举目见日，不见长安,CF上分女武神,6.3,李莹吖y,https://www.douyu.com//8727515
穿越火线,排位/卡牌/小时/秒上号,排位女司机,6.2,情久晴崽,https://www.douyu.com//1339667
穿越火线,AG世冠/雷神虎将/王者凌霄/,无,5.4,太原庞臭臭,https://www.douyu.com//580883
穿越火线,没号 飞机荣耀之巅,无,5.4,CF石山,https://www.douyu.com//7610330
穿越火线,这几天是录播 出门办事 记得荧光棒续牌子,无,5.1,摇热k,https://www.douyu.com//5431561
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,5,汉宫九阳,https://www.douyu.com//5421896
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,5,情久霸天丶,https://www.douyu.com//8885916
穿越火线,全能型天才 10150227,无,5,E十丶小师弟,https://www.douyu.com//10150227
穿越火线,全区排位?首胜?栽楞小QBZ在线上分?,无,4.6,小酥汐i,https://www.douyu.com//10069329
穿越火线,多闻草木少识人 长守自在清净心,无,4.5,情久美素,https://www.douyu.com//5286883
穿越火线,海盗船开船了~,庆余年优秀主播,4.5,拥有晴天,https://www.douyu.com//5282998
穿越火线,粉丝牌/关注=排位,新疆高延迟枪王之王,4.3,白鲨小画家,https://www.douyu.com//1731884
穿越火线,想遇到那个彩虹般的人,无,4.2,SK丶方紫菲,https://www.douyu.com//9373034
穿越火线,睡前故事/温柔御姐风 做你心上人,无,4.1,白鲨小泗,https://www.douyu.com//7921242
穿越火线,帮打全区排位/上分/上豆/小时/荣耀之巅,无,4.1,你的迷人9,https://www.douyu.com//6160997
穿越火线,轮播~下午见,无,4.1,cf杀三里,https://www.douyu.com//10415441
穿越火线,中指又被螺丝刀扎个坑，我服了,无,3.8,Baby擎1004,https://www.douyu.com//6043590
穿越火线,这个直播间怎么开心怎么来,无,3.6,予轻纱,https://www.douyu.com//4557642
穿越火线,【绿芜】继续修仙…,无,3.4,绿芜法力无边,https://www.douyu.com//418804
穿越火线,帮打排位来个号秒上～,无,3.1,轩轩yyds,https://www.douyu.com//10049980
