游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,二台【格局】最强排位上分机器,无,103.8,鲜肉赵山河,https://www.douyu.com//435504
穿越火线,【超欧】送礼物可以拿斗鱼皮肤/背包,无,85.5,橙子大小姐,https://www.douyu.com//5727882
穿越火线,【预告】27日19点 KZ vs ES,无,83.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,最欧 送礼拿斗鱼皮肤苹果,无,73.7,小脑妹,https://www.douyu.com//5621575
穿越火线,开钻粉办卡拿斗鱼全套皮肤苹果,肖晨杯生化赛事创始人,73,肖晨吖,https://www.douyu.com//3357246
穿越火线,送礼钻粉拿斗鱼皮肤~~,无,54.3,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,送礼拿斗鱼皮肤苹果白鲨鼠标垫,无,46.3,白鲨暖文,https://www.douyu.com//6724991
穿越火线,荣耀世冠-龙儿 粉烟 召集币 6盘6列,无,34.8,老V丶,https://www.douyu.com//600594
穿越火线,硬仔嗨起 6烈6盘突突起来！,无,33,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,【重播】CFEL  S1,无,31.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,上分?双排?祝你朝朝暮暮有人疼,CF声优女突破手,26.8,蜜蜜姐i,https://www.douyu.com//631275
穿越火线,拼团/荣耀世冠/龙儿小淘气,无,28.7,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,慢热女孩小筱雪??,无,27.2,小筱雪y,https://www.douyu.com//8861097
穿越火线,小哲：30人乱斗生化！,无,25.8,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,5,情久霸天丶,https://www.douyu.com//8885916
穿越火线,送全部活动，秒上号,无,25.4,猛叔是个大帅BBBBBBBB,https://www.douyu.com//148278
穿越火线,极速上分，猛猛上，,无,22.6,214514加藤鹰,https://www.douyu.com//214514
穿越火线,一起看CFPLS20啦~~~,无,17.2,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,渣渣枫：斗鱼最强女鬼救世主,无,14.4,渣渣枫007,https://www.douyu.com//3859824
穿越火线,百城AK周省冠礼包,无,14.3,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,12.7,游戏坑姐,https://www.douyu.com//10506452
