游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,CFPLS20，新阵容，新面貌，加油！,穿越火线形象代言人,265.6,白鲨AyoM,https://www.douyu.com//728
穿越火线,适应下新耳机~~,CF全能钢枪王,144.7,白鲨石头丶,https://www.douyu.com//717
穿越火线,预告|19点AGvsXROCK,斗鱼穿越火线官方赛事,83.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,拼团?荣耀世冠/龙儿,CF第一噗通话,59.9,小脑妹,https://www.douyu.com//5621575
穿越火线,这号干到之巅！！！,穿越火线官方解说,37.7,传情小小,https://www.douyu.com//10717
穿越火线,一起看CFPLS20啦~~~,CFPL-S6冠军，WCA世界冠军,34.1,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,嘿嘿，我是小文呀！,CF残局收割机,34.6,白鲨暖文,https://www.douyu.com//6724991
穿越火线,白鲨名片喷涂+小红帽+胡萝卜+粉烟,湖北百城联赛3届省冠金枪王,32.8,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,好久不见呐 9155879,无,8.9,情久胡图图,https://www.douyu.com//9155879
穿越火线,硬仔嗨起 6烈6盘突突起来！,生化逃生大师,32.7,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,跳跳乐天花板来啦~,无,32.4,白鲨小胖丶,https://www.douyu.com//10523608
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,斗鱼CF赛事解说,32.3,老V丶,https://www.douyu.com//600594
穿越火线,小哲：直播直播！,无,30.6,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,渣渣枫：斗鱼最强女鬼救世主,CF追击模式大神,28.8,渣渣枫007,https://www.douyu.com//3859824
穿越火线,新人主播 第三天直播~47895,CFPL官方解说,25.7,白鲨加菲,https://www.douyu.com//47895
穿越火线,38岁阿姨，下饭主题专场,无,0.8,情久卷卷,https://www.douyu.com//9305472
穿越火线,全区排位?荣耀世冠?龙儿小淘气,双马尾COP女神,25.5,橙子大小姐,https://www.douyu.com//5727882
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,25.3,汉宫九阳,https://www.douyu.com//5421896
穿越火线,拼团/荣耀世冠/龙儿小淘气,火线AK速射王,24,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,~生化搞起·~,穿越火线生化之王,22.6,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,举目见日，不见长安,CF上分女武神,21.4,李莹吖y,https://www.douyu.com//8727515
穿越火线,上分?双排?祝你朝朝暮暮有人疼,CF声优女突破手,21.4,蜜蜜姐i,https://www.douyu.com//631275
穿越火线,皮皮拉:上分我是专业的！,生化全能王,16,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,音效卡/光耀/荣耀之巅,CF排位女战神,15.2,情久月姐姐,https://www.douyu.com//897371
穿越火线,今天希望有你的陪伴,下饭一姐在线喂饭,14.5,大嗓门的懵兜儿,https://www.douyu.com//2057282
穿越火线,苗族妹妹的排位之路/荣耀之巅,苗族普通话推广员,13.7,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,开开心心每一天啦,无,13.5,走路带点迷,https://www.douyu.com//9320213
穿越火线,看的见来路 看不见归途~,全能暴走小萝莉,11.9,娜崽崽QAQ,https://www.douyu.com//8547218
穿越火线,玩生化的女生不配拥有粉丝吗？,无,11.8,绝绝兔,https://www.douyu.com//6328489
穿越火线,【重播】CFEL  S1,无,11.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,全区无号，来个号吧秒上，钻粉上荣耀/之巅,无,11.5,顾誠吖,https://www.douyu.com//6995382
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,11.1,游戏坑姐,https://www.douyu.com//10506452
穿越火线,首胜??排位??帮打??突破手??,无,11,主播雨兮吖,https://www.douyu.com//10412361
穿越火线,努力上班第32天,国服前三女突破,10.6,叶萍小仙女,https://www.douyu.com//2263
穿越火线,你的月亮永悬不落,无,10.5,白鲨小月亮丶,https://www.douyu.com//8768
穿越火线,全区帮打排位/秒上/保榜,2021福建省秋季百城联赛冠军,10.3,赛航XXL,https://www.douyu.com//6704179
穿越火线,歪？在么梦倾来了哦~,无,9.7,梦倾阿,https://www.douyu.com//9663019
穿越火线,我只管努力，其他交给天意?,无,9.7,小酥汐i,https://www.douyu.com//10069329
穿越火线,这几天是录播 出门办事 记得荧光棒续牌子,CF第一讲师,9.1,摇热k,https://www.douyu.com//5431561
穿越火线,秒上号不排队/学技术看简单~,浙江省2018TGA春季赛金枪王,8.8,白鲨简单,https://www.douyu.com//8697971
穿越火线,可能岸上的人更爱海海上的人更向往港湾,穿越火线G.R女团成员,8.6,情久美素,https://www.douyu.com//5286883
穿越火线,我和我的怨种队友............,爆破残局收割王,8.4,小江江超哇塞,https://www.douyu.com//8824929
穿越火线,老阿姨v小姐姐,无,8.3,cf慧慧,https://www.douyu.com//7435496
穿越火线,排位上车一起玩呀,无,8.3,小小苏芽,https://www.douyu.com//10726574
穿越火线,没号 飞机荣耀之巅,无,8,CF石山,https://www.douyu.com//7610330
穿越火线,北部枪王之王/全区排位,无,7.9,cf杀三里,https://www.douyu.com//10415441
穿越火线,中指又被螺丝刀扎个坑，我服了,TGA认证美女主播，CFDL解说,7.7,Baby擎1004,https://www.douyu.com//6043590
穿越火线,在听已是曲中人，再看已是我的人??,无,7.6,络枳,https://www.douyu.com//10484285
穿越火线,帮打排位/高质量/效率上分/素质主播,无,7.4,白鲨欧豪,https://www.douyu.com//10403762
穿越火线,放空放空~~等个房大大,无,6.9,洛米尐吖頭,https://www.douyu.com//10193949
穿越火线,帮打全区排位/上分/上豆/小时,无,6.7,大觅觅yo,https://www.douyu.com//8763403
穿越火线,东南西北部，新疆姐姐一起玩,无,6.7,榮寳憨憨虎,https://www.douyu.com//7886397
穿越火线,专业冲分！素质主播！,CF官方视频作者,6.6,情久秋宇,https://www.douyu.com//8542577
穿越火线,海盗船开船了~,庆余年优秀主播,6.5,拥有晴天,https://www.douyu.com//5282998
穿越火线,排位/卡牌/小时/秒上号,排位女司机,6.1,情久晴崽,https://www.douyu.com//1339667
穿越火线,全能型天才 10150227,无,5.1,E十丶小师弟,https://www.douyu.com//10150227
穿越火线,你就这么狠心吗？都不来看看我,无,5.1,羊小蛮,https://www.douyu.com//9624974
穿越火线,【幻逸】免费首胜 秒上号猛上分,无,5,幻逸超神了,https://www.douyu.com//4880556
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,4.9,情久霸天丶,https://www.douyu.com//8885916
穿越火线,北部传奇+?有车位,无,4.7,白鲨灵妹妹,https://www.douyu.com//7401167
穿越火线,免费帮全区上号/来个号秒上,无,4.7,白鲨肥太狼,https://www.douyu.com//10358406
穿越火线,秒上号/质量/不排队-首选！,无,4.2,情久sunn,https://www.douyu.com//6272111
穿越火线,帮打全区排位/上分/上豆/小时/荣耀之巅,声优AK小公主,4.2,你的迷人9,https://www.douyu.com//6160997
穿越火线,想遇到那个彩虹般的人,无,4.2,SK丶方紫菲,https://www.douyu.com//9373034
穿越火线,身体不适一只眼睛直播，,新疆高延迟枪王之王,4.2,白鲨小画家,https://www.douyu.com//1731884
穿越火线,上赛季北部前二十，定级/上分/一起玩速来,无,4,情久梵梵,https://www.douyu.com//9025276
穿越火线,老年刀战及幽灵玩家！刀排可找我！,无,4,帝都幽冥鬼戕,https://www.douyu.com//2237590
穿越火线,逆水行舟 不进则退-,无,3.6,白鲨绿茶,https://www.douyu.com//8011230
穿越火线,【绿芜】继续修仙…,无,3.4,绿芜法力无边,https://www.douyu.com//418804
穿越火线,·-·我有一头小毛驴~~,无,3.2,萌a萌,https://www.douyu.com//8002300
穿越火线,免费上号/排位/荣耀（娱乐）,无,3.2,妄念家的臭花花,https://www.douyu.com//8063981
穿越火线,帮打排位来个号秒上～,无,3.1,轩轩yyds,https://www.douyu.com//10049980
