游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,CFPLS20，新阵容，新面貌，加油！,穿越火线形象代言人,279.7,白鲨AyoM,https://www.douyu.com//728
穿越火线,【直播】夏季赛 KZ 0:0 EP,斗鱼穿越火线官方赛事,266.1,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,适应下新耳机~~,CF全能钢枪王,147.4,白鲨石头丶,https://www.douyu.com//717
穿越火线,今天双倍亲密度。,CFS世界总决赛三冠王,60.1,白鲨常旭DBQ,https://www.douyu.com//9442053
穿越火线,拼团?荣耀世冠/龙儿,CF第一噗通话,59.7,小脑妹,https://www.douyu.com//5621575
穿越火线,今天是超甜的丸子,无,11.2,逮只沈丸子,https://www.douyu.com//7559478
穿越火线,别打我~我是主播~,无,10.2,丢宝宝吖,https://www.douyu.com//2019797
穿越火线,如果你突然打了个喷嚏，那一定就是我在想你,无,26.5,白鲨小叮当,https://www.douyu.com//5169880
穿越火线,睡前故事/温柔御姐风 做你心上人,治愈系声优 情感电台主播,6.8,白鲨小泗,https://www.douyu.com//7921242
穿越火线,全区排位?荣耀世冠?龙儿小淘气,双马尾COP女神,56.3,橙子大小姐,https://www.douyu.com//5727882
穿越火线,肖晨：暴虐小僵尸,肖晨杯生化赛事创始人,56.2,肖晨吖,https://www.douyu.com//3357246
穿越火线,今天希望有你的陪伴,下饭一姐在线喂饭,13.9,大嗓门的懵兜儿,https://www.douyu.com//2057282
穿越火线,嘿嘿，我是小文呀！,CF残局收割机,38.9,白鲨暖文,https://www.douyu.com//6724991
穿越火线,这号干到之巅！！！,穿越火线官方解说,37.1,传情小小,https://www.douyu.com//10717
穿越火线,音效卡/光耀/荣耀之巅,CF排位女战神,35.3,情久月姐姐,https://www.douyu.com//897371
穿越火线,一起看CFPLS20啦~~~,CFPL-S6冠军，WCA世界冠军,35,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,白鲨名片喷涂+小红帽+胡萝卜+粉烟,湖北百城联赛3届省冠金枪王,32.8,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,川：把把20杀,单排狙击王,32.4,你好我是夏洛克,https://www.douyu.com//122943
穿越火线,硬仔嗨起 6烈6盘突突起来！,生化逃生大师,32.3,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,斗鱼CF赛事解说,32.1,老V丶,https://www.douyu.com//600594
穿越火线,跳跳乐天花板来啦~,无,31.7,白鲨小胖丶,https://www.douyu.com//10523608
穿越火线,小哲：直播直播！,无,30.7,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,渣渣枫：斗鱼最强女鬼救世主,CF追击模式大神,28.6,渣渣枫007,https://www.douyu.com//3859824
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,25.6,汉宫九阳,https://www.douyu.com//5421896
穿越火线,送全部活动，秒上号,无,24.8,猛叔是个大帅BBBBBBBB,https://www.douyu.com//148278
穿越火线,拼团/荣耀世冠/龙儿小淘气,火线AK速射王,24,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,~生化搞起·~,穿越火线生化之王,22.8,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,举目见日，不见长安,CF上分女武神,21.2,李莹吖y,https://www.douyu.com//8727515
穿越火线,你刷礼物的样子真帅！！！,无,20.9,KZ丶折耳猫,https://www.douyu.com//8833574
穿越火线,天天事比较多今天又没收拾,CFPL官方解说,20.9,大娇娇Claire,https://www.douyu.com//10302
穿越火线,风雨同行`-`,国服前三AK,20.6,CF王振,https://www.douyu.com//24939
穿越火线,苗族妹妹的排位之路/荣耀之巅,苗族普通话推广员,20.4,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,新主播秒上号炸鱼天花板,斗神杯CF邀请赛亚军,19,CF暴风雪,https://www.douyu.com//3992
穿越火线,没号秒上  荣耀/之巅/首胜,顶尖女突破手,18.9,情久小悦儿BiuBiu,https://www.douyu.com//18272
穿越火线,晚上比赛加油吖,CFPL S18冠军、CFS世界冠军,16.7,LGDmino,https://www.douyu.com//5406876
穿越火线,极速上分，猛猛上，,爆破意识突破手,16.5,214514加藤鹰,https://www.douyu.com//214514
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,16.2,游戏坑姐,https://www.douyu.com//10506452
穿越火线,帮打排位/首胜  可可爱爱没有脑袋,无,15.7,小璐娜QwQ,https://www.douyu.com//6688811
穿越火线,皮皮拉:上分我是专业的！,生化全能王,15.4,皮皮拉3004O1,https://www.douyu.com//300401
穿越火线,开开心心每一天啦,无,14,走路带点迷,https://www.douyu.com//9320213
穿越火线,清晨：麻了,全能生化压力大神,13.9,Cz丶清晨,https://www.douyu.com//5319170
穿越火线,【重播】CFEL  S1,无,11.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,努力上班第32天,国服前三女突破,11.4,叶萍小仙女,https://www.douyu.com//2263
