游戏名,房间名,主播头衔,热度/万,主播昵称,直播网址
穿越火线,预告|19点AGvsXROCK,斗鱼穿越火线官方赛事,83.7,穿越火线运营团队,https://www.douyu.com//605964
穿越火线,拼团?荣耀世冠/龙儿,CF第一噗通话,59.9,小脑妹,https://www.douyu.com//5621575
穿越火线,嘿嘿，我是小文呀！,CF残局收割机,33.8,白鲨暖文,https://www.douyu.com//6724991
穿越火线,硬仔嗨起 6烈6盘突突起来！,生化逃生大师,32.8,渝万丶灭尸,https://www.douyu.com//4333872
穿越火线,荣耀柯尔特-龙儿 粉烟 召集币 6盘6列,斗鱼CF赛事解说,32.2,老V丶,https://www.douyu.com//600594
穿越火线,小哲：直播直播！,无,30.6,渝万丶小哲,https://www.douyu.com//4333088
穿越火线,慢热女孩小筱雪??,声优M4,30.1,小筱雪y,https://www.douyu.com//8861097
穿越火线,自我介绍：搞笑技术主播,苗族普通话推广员,28.7,白鲨欧苗苗,https://www.douyu.com//60888
穿越火线,拼团/荣耀世冠/龙儿小淘气,火线AK速射王,27,主播蹦嚓149435,https://www.douyu.com//149435
穿越火线,新人主播 第三天直播~47895,CFPL官方解说,26.8,白鲨加菲,https://www.douyu.com//47895
穿越火线,全区排位?荣耀世冠?龙儿小淘气,双马尾COP女神,25.5,橙子大小姐,https://www.douyu.com//5727882
穿越火线,直播~~生化搞起·~,穿越火线生化之王,24.3,渝万丶狗哥,https://www.douyu.com//6310
穿越火线,极速上分，猛猛上，,爆破意识突破手,22.1,214514加藤鹰,https://www.douyu.com//214514
穿越火线,一起看CFPLS20啦~~~,CFPL-S6冠军，WCA世界冠军,16.8,白鲨xiubi丶,https://www.douyu.com//22690
穿越火线,可能岸上的人更爱海海上的人更向往港湾,穿越火线G.R女团成员,8.5,情久美素,https://www.douyu.com//5286883
穿越火线,一起游戏吧~,无,4.1,宝妈灵芝,https://www.douyu.com//9981604
穿越火线,白鲨名片喷涂+小红帽+胡萝卜+粉烟,湖北百城联赛3届省冠金枪王,16.3,白鲨金豆豆,https://www.douyu.com//1974713
穿越火线,音效卡/光耀/荣耀之巅,CF排位女战神,15.2,情久月姐姐,https://www.douyu.com//897371
穿越火线,全区帮打/首胜／安全分/秒上号,全球最稳灭队小能手,14.5,游戏坑姐,https://www.douyu.com//10506452
穿越火线,渣渣枫：斗鱼最强女鬼救世主,CF追击模式大神,14.2,渣渣枫007,https://www.douyu.com//3859824
穿越火线,帮打排位/秒上号/送钻粉上荣耀。,2019CF百城联赛吉林赛区季军,12.7,汉宫九阳,https://www.douyu.com//5421896
穿越火线,今天是妹妹枪法！,CF声优M4大神,11.9,情久袭羊羊,https://www.douyu.com//8103518
穿越火线,【重播】CFEL  S1,无,11.7,穿越火线赛事专用,https://www.douyu.com//522798
穿越火线,全区无号，来个号吧秒上，钻粉上荣耀/之巅,无,11.7,顾誠吖,https://www.douyu.com//6995382
穿越火线,举目见日，不见长安,CF上分女武神,10.7,李莹吖y,https://www.douyu.com//8727515
穿越火线,早上起开播  啥都玩 ！,无,10.4,可恶丶迷失称神,https://www.douyu.com//9960625
穿越火线,无号，帮打排位/荣耀/之巅/之王,无,10,CFiyz,https://www.douyu.com//5461764
穿越火线,我只管努力，其他交给天意?,无,9.8,小酥汐i,https://www.douyu.com//10069329
穿越火线,裂开了啊啊啊啊啊,无,9.3,情久小北北,https://www.douyu.com//14842
穿越火线,南部专家上车滴滴滴滴,无,9.3,情久暖迷,https://www.douyu.com//8260751
穿越火线,这几天是录播 出门办事 记得荧光棒续牌子,CF第一讲师,9.2,摇热k,https://www.douyu.com//5431561
穿越火线,秒上号不排队/学技术看简单~,浙江省2018TGA春季赛金枪王,8.8,白鲨简单,https://www.douyu.com//8697971
穿越火线,恭喜柒柒首枚紫牌冠名?,CF金牌M4,8.6,小福歆,https://www.douyu.com//9246009
穿越火线,开钻粉，上荣耀之巅,CF狙击女战神,8.3,情久神奇大微微,https://www.douyu.com//554
穿越火线,没号 飞机荣耀之巅,无,8,CF石山,https://www.douyu.com//7610330
穿越火线,在听已是曲中人，再看已是我的人??,无,7.6,络枳,https://www.douyu.com//10484285
穿越火线,办卡打号秒上号 稳稳上分 来个北部上车,无,7.5,温柔李安乐,https://www.douyu.com//2145285
穿越火线,专业冲分！素质主播！,CF官方视频作者,6.6,情久秋宇,https://www.douyu.com//8542577
穿越火线,帮打全区排位/上分/上豆/小时,无,6.5,大觅觅yo,https://www.douyu.com//8763403
穿越火线,排位/卡牌/小时/秒上号,排位女司机,6.2,情久晴崽,https://www.douyu.com//1339667
穿越火线,排位女土匪，第一女QBZ.全区秒,无,6,情久优柔,https://www.douyu.com//8495302
穿越火线,对人要和气，但不要狎昵。,无,5.6,单雨瑶,https://www.douyu.com//4565731
穿越火线,枪王/荣耀/之巅/秒上,CF意识流枪王,5.4,大个儿Li,https://www.douyu.com//2478544
穿越火线,全能型天才 10150227,无,5.1,E十丶小师弟,https://www.douyu.com//10150227
穿越火线,帮打排位/效率/高质量选手。,2021山东百城联赛省冠狙神,4.9,情久霸天丶,https://www.douyu.com//8885916
穿越火线,南部的庫庫林·白夜，看看有没有得罪过你？,无,4.5,山花爛漫时,https://www.douyu.com//5083807
穿越火线,免费帮全区上号/来个号秒上,无,4.3,白鲨肥太狼,https://www.douyu.com//10358406
穿越火线,秒上号/质量/不排队-首选！,无,4.2,情久sunn,https://www.douyu.com//6272111
穿越火线,身体不适一只眼睛直播，,新疆高延迟枪王之王,4.2,白鲨小画家,https://www.douyu.com//1731884
穿越火线,帮打全区排位/上分/上豆/小时/荣耀之巅,声优AK小公主,4.2,你的迷人9,https://www.douyu.com//6160997
穿越火线,想遇到那个彩虹般的人,无,4.1,SK丶方紫菲,https://www.douyu.com//9373034
穿越火线,老年刀战及幽灵玩家！刀排可找我！,无,4,帝都幽冥鬼戕,https://www.douyu.com//2237590
穿越火线,轮播~明天见,无,4,cf杀三里,https://www.douyu.com//10415441
穿越火线,我可能会迟到，但绝不会缺席,TGA认证美女主播，CFDL解说,3.9,Baby擎1004,https://www.douyu.com//6043590
